TIG_PostNL::Enabled,Activé
TIG_PostNL::PostNL: It appears that your cron is not working properly.,PostNL : votre cron ne semble pas fonctionner correctement.
TIG_PostNL::PostNL requires the cron to be active in order to function.,PostNL a besoin du cron pour fonctionner correctement.
TIG_PostNL::Checkout Summary,Aperçu Checkout
TIG_PostNL::Billing Address,Adresse de paiement
TIG_PostNL::Shipping Address,Adresse d'envoi
TIG_PostNL::Collection Address,Lieu d’enlèvement
TIG_PostNL::Payment Method,Méthode de paiement
TIG_PostNL::Shipping Method,Méthode d'envoi
TIG_PostNL::Items Ordered,Articles commandés
TIG_PostNL::Product Name,Nom du produit
TIG_PostNL::Qty,Nombre
TIG_PostNL::Subtotal,Sous-total
TIG_PostNL::Return to the shopping cart.,Retour au panier
TIG_PostNL::Confirm Order,Confirmer la commande
TIG_PostNL::Cancel,Annuler
TIG_PostNL::Your credit card will be charged for,Votre carte de crédit a été débitée de
TIG_PostNL::Loading...,Chargement en cours...
TIG_PostNL::How does it work?,Comment ça marche ?
TIG_PostNL::An error occurred. Please use our regular checkout instead.,Une erreur est survenue. Veuillez utiliser la page de paiement normale.
TIG_PostNL::You have not yet enabled PostNL Checkout.,Vous n'avez pas encore activé PostNL Checkout.
TIG_PostNL::%s > %s is required.,%s > %s est exigé.
TIG_PostNL::You need to enable at least one payment method.,Vous devez activer au moins une méthode de paiement.
TIG_PostNL::You have not yet enabled the extension.,Vous n'avez pas encore activé l'extension.
TIG_PostNL::No PostNL shipping method has been enabled. You can enable the PostNL shipping method under %sSystem > Config > Shipping Methods%s.,Vous n'avez pas encore activé de méthode d'envoi PostNL. Vous pouvez le faire via %sSystème > Configuration > Méthodes d'envoi%s.
TIG_PostNL::The shop's base currency code must be set to EUR for PostNL to function.,La devise de base du magasin doit être l'euro pour un bon fonctionnement de l'extension PostNL.
TIG_PostNL::The extension has not been activated.,Vous n'avez pas encore activé l'extension.
TIG_PostNL::Product code %s is not allowed for this shipment.,Le code produit %s n'est pas autorisé pour cet envoi.
TIG_PostNL::PostNL Checkout is not available due to the following reasons:,PostNL Checkout n'est pas disponible pour les raisons suivantes :
TIG_PostNL::Click here for more information from the TIG knowledgebase.,Cliquez ici pour obtenir de plus amples informations dans la base de connaissances TIG.
"TIG_PostNL::This action is not available for shipment #%s, because it was not shipped using PostNL.","Cette action n'est pas disponible pour l'envoi #%s, car ce dernier n'a pas été expédié via PostNL."
TIG_PostNL::Shipment #%s cannot be confirmed at this time.,L'envoi #%s ne peut pas être annoncé pour l'instant.
"TIG_PostNL::Shipment #%s could not be confirmed, because for EU shipments you may only confirm a shipment after it's labels have been printed.","L'envoi #%s ne peut pas être annoncé, car les envois européens ne peuvent être annoncés qu'une fois les étiquettes imprimées."
TIG_PostNL::Show error details in the frontend,Afficher les détails de l'erreur dans l'interface graphique
"TIG_PostNL::If set to 'yes', error details will be shown in the frontend when an error occurs. Error details include the error code as well as a link to the TIG knowledgebase article concerning the error. This is useful for debugging purposes, but should be disabled in a production environment.","Si ce paramètre est réglé sur « oui », un code d'erreur et un lien vers la base de connaissances TIG apparaîtront également dans l'interface graphique pour la plupart des erreurs. Ceci est utile quand vous devez déboguer l'extension, mais ne devrait jamais figurer dans un environnement de production."
TIG_PostNL::The PostNL extension is not compatible with your Magento version!,L'extension PostNL n'est pas compatible avec votre version de Magento !
TIG_PostNL::Invalid Magento edition detected: %s,Édition Magento invalide détectée : %s
TIG_PostNL::Invalid rate type requested: %s,Option tarifaire invalide demandée : %s
"TIG_PostNL::These settings are intended for advanced users only! If you're not 100% sure what you're doing, please do not touch these settings.","Ces paramètres sont uniquement destinés aux utilisateurs avancés ! Si vous n'êtes pas totalement sûr de ce que vous faites, n'adaptez pas ces paramètres."
TIG_PostNL::This is where you specify which payment options will be presented to your customers in PostNL Checkout. At least one of these must be activated for PostNL Checkout to work.,Vous pouvez indiquer ici quelles méthodes de paiement sont proposées à vos clients dans PostNL Checkout. Au moins une méthode de paiement doit être active.
"TIG_PostNL::Here you can specify the way GlobalPack shipments are handled. This is very important if you want to ship products to outside the EU. Otherwise you can safely ignore these settings.,""Vous pouvez indiquer ici comment les envois GlobalPack (internationaux) doivent être traités. Ceci est essentiel si vous prévoyez d'envoyer des produits en dehors de l'UE. Si vos envois se limitent à l'UE, vous pouvez ignorer ces paramètres."
TIG_PostNL::Shipping preferences,Préférence d'envoi
"TIG_PostNL::You may specify a separate return address for shipments that could not be delivered. If you do not wish to specify a separate return address, your sender address will be used.","Vous pouvez indiquer une adresse de retour alternative pour les envois qui ne peuvent pas être livrés. Si vous n'indiquez rien ici, votre adresse d'expéditeur sera utilisée."
TIG_PostNL::Please fill in your address details. These details are required for the activation of the extension.,Indiquez vos coordonnées ici. Celles-ci sont nécessaires pour le fonctionnement de l'extension.
TIG_PostNL::Invalid UpdateOrder response received!,Réponse UpdateOrder invalide !
"TIG_PostNL::This is where you configure the way the extension handles addresses entered by your customers. If these settings are not configured correctly, PostNL cannot guarantee that all addresses will be printed in the correct format.","Configurez ici la manière dont l'extension traite les coordonnées de vos clients. Ceci est essentiel pour une bonne configuration. Si ce n'est pas correctement configuré, PostNL ne peut pas garantir que les coordonnées pourront être imprimées avec un formatage correct."
TIG_PostNL::The extension can be completely adjusted to fit seamlessly with the processes of your online store. Here you can configure the most crucial settings.,L'extension peut être totalement adaptée aux processus de votre webshop. Les paramètres essentiels peuvent être configurés ici.
TIG_PostNL::Invalid PingStatus response: %s,Réponse PingStatus invalide : %s
TIG_PostNL::Confirming & Label Printing Settings,Paramètres Annonce & Impression d'étiquette
TIG_PostNL::No quote available to initiate PostNL Checkout.,Pas de quote disponible pour PostNL Checkout
TIG_PostNL::In this first step you will need to register the extension.,"Lors de cette première étape d'activation, vous enregistrez l'extension pour utilisation."
TIG_PostNL::Invalid PrepareOrder response: %s,Réponse PrepareOrder invalide : %s
TIG_PostNL::Invalid ReadOrder response: %s,Réponse OrderOrder invalide : %s
TIG_PostNL::Invalid ConfirmOrder response: %s,Réponse ConfirmOrder invalide : %s
TIG_PostNL::Invalid reference type requested: %s,Modèle de référence demandé invalide : %s
TIG_PostNL::Invalid object specified: %s,Objet spécifié invalide : %s
TIG_PostNL::Number of Parcels,Nombre de colis
"TIG_PostNL::You can use this field to for example, add a prefix to the shipment increment ID or to help identify the shipment as coming from your webshop. You can use the following variables: {{var shipment_increment_id}}, {{var order_increment_id}} and {{var store_frontend_name}}. The resulting text may not exceed 28 characters. ","Vous pouvez, par exemple, utiliser ce champ pour ajouter un particule à l'identifiant incrément envoi. Vous pouvez aussi veiller à ce qu'il soit clair pour le client que le colis vient de votre webshop. Vous pouvez utiliser les variables suivantes : {{var shipment_increment_id}}, {{var order_increment_id}} et {{var store_frontend_name}}. Le texte final ne peut pas compter plus de 28 caractères."
TIG_PostNL::If you are unsure which options to select, ask your PostNL account manager.,Si vous n'êtes pas sûr des options applicables pour votre webshop, vous pouvez poser la question à votre account manager PostNL.
"TIG_PostNL::We recommend you make the chosen attribute mandatory. However, should the attribute you selected be empty for a certain product, the label will note '000000' instead.","Nous recommandons de rendre l'attribut choisi obligatoire. S'il arrive que l'attribut soit vide pour un produit donné, l'étiquette indiquera « 000000 »."
TIG_PostNL::The 2kg limit will be based on the product's weight and the weight unit you selected under the 'Confirm and label printing settings' group.,La limite de 2kg se base sur le poids des produits et l'unité de poids que vous avez sélectionné dans « annonce et impression d'étiquette ».
TIG_PostNL::Returns your customer's mobile phone number if activated. This number will be saved as the customer's regular phone number.,Demandez le numéro de GSM de vos clients. Ce numéro sera enregistré comme le numéro de téléphone normal du client.
"TIG_PostNL::All addresses outside of the Netherlands are considered foreign. Addresses outside of the EU are not allowed.","Toutes les adresses en dehors des Pays-Bas sont considérées comme des adresses à l'étranger. Les adresses en dehors de l'UE ne sont pas autorisées, malgré ce paramètre."
TIG_PostNL::Activate to make your customers comply with your conditions. You can adjust the URL that directs to your conditions from your PostNL Checkout Account.,Activer l'option visant à obliger vos clients à approuver vos conditions générales. L'URL de vos conditions générales peut être adapté via votre compte PostNL Checkout.
TIG_PostNL::,ou
"TIG_PostNL::Missing customs description for product <a href=""%s"" target=""_blank"">#%s</a>.","Description douanière manquante pour le produit <a href=""%s"" target=""_blank"">#%s</a>."
"TIG_PostNL::Missing customs value for product <a href=""%s"" target=""_blank"">#%s</a>.","Valeur douanière manquante pour le produit <a href=""%s"" target=""_blank"">#%s</a>."
"TIG_PostNL::Missing country of origin value for product <a href=""%s"" target=""_blank"">#%s</a>.","Pays d'origine manquant pour le produit <a href=""%s"" target=""_blank"">#%s</a>."
TIG_PostNL::PostNL Shipping Options,Options d’expédition PostNL
TIG_PostNL::Gift,Cadeau
TIG_PostNL::Documents,Documents
TIG_PostNL::Commercial Goods,Marchandises commerciales
TIG_PostNL::Commercial Sample,Échantillon commercial
TIG_PostNL::Returned Goods,Marchandises retournées
TIG_PostNL::An error occurred while processing your request:,Une erreur est survenue lors du traitement de votre demande :
TIG_PostNL::OrderToken missing for quote #%s,OrderToken n'est pas présent pour le quote #%s
TIG_PostNL::Unable to create an order for quote #%s,Aucune commande ne peut être créée pour le quote #%s
TIG_PostNL::Invalid quote supplied.,Quote fourni invalide.
TIG_PostNL::No username or password set.,Aucun nom d'utilisateur ou mot de passe indiqué.
TIG_PostNL::Invalid barcode response: %s,Code-barres invalide : %s
TIG_PostNL::Chosen delivery date:,Date de livraison choisie :
TIG_PostNL::Invalid confirmShipment response: %s,Réponse confirmation d'annonce invalide : %s
TIG_PostNL::The extension has been registered. Click <a href="#" onclick="%s">here</a> to be able to register the extension under a different name.,L'extension est enregistrée. Cliquez <a href="#" onclick="%s">ici</a> pour enregistrer l'extension à nouveau sous un autre nom.
TIG_PostNL::Please fill in the fields below to finish the extension registration procedure. Click <a href="#" onclick="%s">here</a> to reset the registration procedure.,Veuillez compléter les champs suivants pour achever la procédure d'enregistrement. Cliquez <a href="#" onclick="%s">ici</a> pour relancer la procédure d'enregistrement.
TIG_PostNL::The quote's total weight is below the miniumum required to use PostNL Checkout.,Le poids total de la commande est inférieur au minimum pour pouvoir utiliser PostNL Checkout.
